STP_NAME,STP_CODE,REGION_NAME,REGION_CODE,TOTAL_ITEMS,TOTAL_NIC
"BATH & NE SOMERSET, SWINDON & WILTS STP",QOX,SOUTH WEST,Y58,1495769,11555956.14
"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",QHG,EAST OF ENGLAND,Y61,1310882,10961076.49
BIRMINGHAM & SOLIHULL STP,QHL,MIDLANDS,Y60,1760316,16394384.2
"BRISTOL, N SOMERSET & S GLOUCS STP",QUY,SOUTH WEST,Y58,1435857,11874390.38
"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",QU9,SOUTH EAST,Y59,2309418,21785698.23
CAMBRIDGESHIRE & PETERBOROUGH STP,QUE,EAST OF ENGLAND,Y61,1730326,25366064.38
CHESHIRE & MERSEYSIDE STP,QYG,NORTH WEST,Y62,5069345,42952089.99
CORNWALL & SCILLY ISLES HSC P/SHIP STP,QT6,SOUTH WEST,Y58,1148479,8586410.43
COVENTRY & WARWICKSHIRE STP,QWU,MIDLANDS,Y60,1654818,12838256.51
CUMBRIA & NORTH EAST STP,QHM,NORTH EAST AND YORKSHIRE,Y63,6858282,46430368.67
DEVON STP,QJK,SOUTH WEST,Y58,2188375,17668608.17
DORSET STP,QVV,SOUTH WEST,Y58,1361327,12089456.98
EAST LONDON HEALTH & CARE P/SHIP STP,QMF,LONDON,Y56,2801885,21610706.8
FRIMLEY HEALTH & CARE ICS STP,QNQ,SOUTH EAST,Y59,936653,8517309.03
GLOUCESTERSHIRE STP,QR1,SOUTH WEST,Y58,1143358,10109885.97
GREATER MANCHESTER HSC PARTNERSHIP STP,QOP,NORTH WEST,Y62,5561505,50029527.28
HAMPSHIRE & THE ISLE OF WIGHT STP,QRL,SOUTH EAST,Y59,2606668,24574627.98
HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,QE1,NORTH WEST,Y62,3407490,26707117.68
HEREFORDSHIRE & WORCESTERSHIRE STP,QGH,MIDLANDS,Y60,1372229,18838774.53
HERTFORDSHIRE & WEST ESSEX STP,QM7,EAST OF ENGLAND,Y61,2310135,18153204.75
"HUMBER, COAST & VALE STP",QOQ,NORTH EAST AND YORKSHIRE,Y63,3367624,25486478.69
JOINED UP CARE DERBYSHIRE STP,QJ2,MIDLANDS,Y60,1696087,13634807.78
KENT & MEDWAY STP,QKS,SOUTH EAST,Y59,2924776,29299351.13
"LEICESTER, LEICESTERSHIRE & RUTLAND STP",QK1,MIDLANDS,Y60,1898927,14898618.05
LINCOLNSHIRE STP,QJM,MIDLANDS,Y60,1844781,12715975.98
MID AND SOUTH ESSEX STP,QH8,EAST OF ENGLAND,Y61,1825428,16367023.47
NORFOLK & WAVENEY H&C PARTNERSHIP STP,QMM,EAST OF ENGLAND,Y61,2101914,15358778.94
NORTH LONDON PARTNERS IN H&C STP,QMJ,LONDON,Y56,1780026,15178821.93
NORTHAMPTONSHIRE STP,QPM,MIDLANDS,Y60,1369528,9768879.25
NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,QT1,MIDLANDS,Y60,1792518,17971214.12
NW LONDON HEALTH & CARE PARTNERSHIP STP,QRV,LONDON,Y56,3774528,29413001.02
OUR HEALTHIER SOUTH EAST LONDON STP,QKK,LONDON,Y56,2058760,17898493.22
SHROPSHIRE & TELFORD & WREKIN STP,QOC,MIDLANDS,Y60,802253,7224186.75
SOMERSET STP,QSL,SOUTH WEST,Y58,946717,8201334.39
SOUTH YORKSHIRE & BASSETLAW STP,QF7,NORTH EAST AND YORKSHIRE,Y63,3225345,23265213.66
STAFFORDSHIRE & STOKE ON TRENT STP,QNC,MIDLANDS,Y60,2247685,19647384.09
SUFFOLK & NORTH EAST ESSEX STP,QJG,EAST OF ENGLAND,Y61,1931444,14744455.12
SURREY HEARTLANDS H&C PARTNERSHIP STP,QXU,SOUTH EAST,Y59,1205128,11950090.94
SUSSEX & EAST SURREY STP,QNX,SOUTH EAST,Y59,2813630,27177732.86
SW LONDON HEALTH & CARE PARTNERSHIP STP,QWE,LONDON,Y56,1954942,15007108.52
THE BLACK COUNTRY & WEST BIRMINGHAM STP,QUA,MIDLANDS,Y60,2408065,21423105.36
W YORKSHIRE & HARROGATE H&C P/SHIP STP,QWO,NORTH EAST AND YORKSHIRE,Y63,5577533,44829425.22
