Name,Soundex,Frequency
Aaron,A650,2
Abberley,A164,2
Abbey,A100,3
Abbis,A120,2
Abble,A140,1
Abbot,A130,4
Abbots,A132,1
Abbott,A130,35
Abbotts,A132,3
Abbs,A120,2
Abdalraman,A134,1
Abe,A100,1
Abell,A140,3
Abendano,A153,2
Abererrnalia,A166,1
Abery,A160,1
Able,A140,1
Ableson,A142,1
Ablett,A143,3
Ablewhite,A143,1
Abra,A160,1
Abraham,A165,9
Abrahams,A165,5
Abram,A165,4
Abrames,A165,1
Abray,A160,1
Abrook,A162,1
Absolom,A124,1
Abson,A125,4
Acamley,A254,1
Acer,A260,1
Acey,A200,1
Acheson,A225,1
Ackerley,A264,2
Ackerman,A265,1
Acklam,A245,1
Ackland,A245,2
Ackrill,A264,1
Ackroyd,A263,7
Acland,A245,2
Acomb,A251,1
Aconley,A254,1
Acton,A235,2
Acutt,A230,1
Adam,A350,4
Adams,A352,89
Adamson,A352,11
Adby,A310,1
Adcock,A322,6
Addams,A352,1
Adderley,A364,3
Addicott,A323,2
Addinall,A354,1
Addis,A320,4
Addiscott,A323,1
Addison,A325,9
Addisson,A325,1
Addy,A300,2
Adey,A300,2
Adin,A350,1
Adkin,A325,1
Adkins,A325,2
Adkinson,A325,1
Adlam,A345,2
Adlem,A345,2
Adlington,A345,2
Adshead,A323,5
Adwick,A320,1
Affleck,A142,1
Agar,A260,3
Agars,A262,1
Agate,A230,1
Agent,A253,1
Ager,A260,1
Agg,A200,1
Aggutter,A236,1
Agnew,A250,1
Aguiter,A236,1
Ahern,A650,2
Aiken,A250,1
Ailsworth,A426,1
Aindow,A530,2
Ainge,A520,1
Aingy,A520,1
Ainley,A540,4
Ainscough,A522,2
Ainsley,A524,1
Ainslie,A524,1
Ainsworth,A526,8
Aires,A620,1
Airey,A600,4
Aish,A200,1
Aisthorpe,A236,1
Aitcheson,A322,1
Aitchison,A322,1
Aitken,A325,3
Aizlewood,A243,1
Akehurst,A262,2
Akenhead,A253,2
Akerman,A265,1
Akeroyd,A263,1
Akers,A262,1
Akester,A223,1
Akin,A250,2
Akker,A260,2
Akroyd,A263,1
Albenson,A415,1
Albert,A416,1
Albeston,A412,1
Albon,A415,1
Albot,A413,1
Alcock,A422,10
Alcorn,A426,1
Alcott,A423,1
Alcroft,A426,1
Aldam,A435,1
Alder,A436,1
Alderman,A436,4
Aldersey,A436,1
Alderslade,A436,1
Alderson,A436,5
Alderton,A436,3
Aldington,A435,2
Aldis,A432,1
Aldous,A432,3
Aldred,A436,4
Aldrich,A436,1
Aldridge,A436,9
Aldwinckle,A435,1
Alecock,A422,1
Alexander,A425,24
Alexanders,A425,2
Alford,A416,5
Alfrey,A416,1
Algar,A426,1
Alger,A426,2
Alker,A426,3
Allam,A450,2
Allamby,A451,1
Allan,A450,5
Allanby,A451,2
Allanson,A452,1
Allard,A463,2
Allardus,A463,1
Allart,A463,1
Allatt,A430,1
Allaway,A400,2
Allbright,A416,1
Allbrighton,A416,1
Allchin,A425,2
Allchurch,A426,1
Allcock,A422,15
Allcot,A423,1
Allcott,A423,1
Allcroft,A426,1
Allday,A430,1
Alldred,A436,1
Alldridge,A436,1
Allen,A450,123
Allenby,A451,1
Alley,A400,2
Allford,A416,2
Allgood,A423,1
Allies,A420,1
Allingham,A452,1
Allinson,A452,2
Allis,A420,1
Allison,A425,15
Allitt,A430,1
Allkin,A425,1
Allman,A455,1
Allmond,A455,1
Allonby,A451,1
Allott,A430,1
Allport,A416,4
Allsebrook,A421,1
Allsop,A421,5
Allsopp,A421,2
Allston,A423,1
Allsworth,A426,2
Allum,A450,2
Allwinckles,A452,1
Allwood,A430,4
Almond,A455,6
Alner,A456,1
Alp,A410,1
Alpass,A412,1
Alsop,A421,9
Alston,A423,3
Alsworth,A426,1
Alt,A430,1
Altham,A435,4
Altoft,A431,1
Alton,A435,3
Alty,A430,1
Alvey,A410,1
Alvis,A412,1
Alway,A400,2
Ambler,A514,4
Ambrey,A516,1
Ambrose,A516,6
Amer,A560,3
Amery,A560,2
Ames,A520,4
Amesbury,A521,1
Amey,A500,3
Amis,A520,1
Amison,A525,1
Amiss,A520,1
Amlod,A543,1
Amor,A560,2
Amory,A560,1
Amos,A520,17
Amrus,A562,1
Amy,A500,2
Anachon,A525,1
Anders,A536,1
Anderson,A536,37
Anderton,A536,11
Andranartha,A536,1
Andress,A536,1
Andrew,A536,17
Andrews,A536,51
Anelay,A540,1
Anfield,A514,1
Angel,A524,2
Angell,A524,3
Angley,A524,1
Angleys,A524,1
Angove,A521,3
Angrave,A526,4
Angus,A522,1
Angwin,A525,1
Anker,A526,1
Ankers,A526,2
Ankress,A526,1
Anley,A540,1
Ann,A500,1
Annan,A550,1
Anness,A520,3
Anning,A552,2
Anniss,A520,2
Anns,A520,1
Annums,A552,1
Anscombe,A525,1
Ansell,A524,6
Ansley,A524,1
Ansloe,A524,1
Anson,A525,1
Anstead,A523,1
Anstee,A523,2
Anstey,A523,1
Anstis,A523,1
Anstiss,A523,1
Anthony,A535,10
Antill,A534,1
Antony,A535,1
Antrobus,A536,3
Anturs,A536,1
Antwiss,A532,1
Anvine,A515,1
Anwell,A540,1
Anyon,A550,1
Aplin,A145,3
Appelford,A141,1
Appelton,A143,1
Appleby,A141,12
Appledow,A143,1
Applegarth,A142,1
Applegate,A142,1
Appleton,A143,11
Appleyard,A146,4
Applin,A145,1
Apps,A120,5
Aps,A120,1
Apted,A133,2
Arandle,A653,1
Arber,A616,1
Arberry,A616,1
Arbridge,A616,1
Archdeacon,A623,1
Archer,A626,26
Arcoat,A623,1
Arcy,A620,1
Arden,A635,1
Ardern,A636,1
Ardley,A634,2
Ardran,A636,1
Ardron,A636,1
Ardrun,A636,1
Ardwick,A632,1
Argent,A625,4
Argile,A624,2
Argust,A622,1
Argyle,A624,1
Aries,A620,1
Aris,A620,2
Arkcoll,A624,1
Arkel,A624,1
Arkell,A624,1
Arkinstall,A625,1
Arkwright,A626,1
Arlett,A643,1
Arlis,A642,1
Armes,A652,1
Armieson,A652,1
Armistead,A652,1
Armitage,A653,19
Armitstead,A653,2
Armitt,A653,1
Armor,A656,1
Armstead,A652,4
Armstrong,A652,47
Arn??eld,A654,1
Arnall,A654,1
Arnand,A655,1
Arnell,A654,1
Arnern?,A656,1
Arnett,A653,3
Arno,A650,1
Arnold,A654,18
Arnot,A653,1
Arnott,A653,2
Arrand,A653,1
Arrindel,A653,1
Arrowsmith,A625,2
Arscott,A623,4
Arslett,A624,1
Arson,A625,1
Arstall,A623,1
Arthur,A636,13
Arthurs,A636,2
Artinstall,A635,1
Arton,A635,1
Arundale,A653,1
Arundell,A653,2
Asa,A200,1
Asbey,A210,1
Asbury,A216,2
Ascott,A230,1
Ascough,A220,1
Ascroft,A261,2
Ash,A200,11
Ashall,A240,2
Ashbee,A210,1
Ashbey,A210,2
Ashbolt,A214,1
Ashbrood,A216,1
Ashbrook,A216,1
Ashby,A210,7
Ashcroft,A226,6
Ashdown,A235,1
Ashenhurst,A256,1
Asher,A260,3
Ashey,A200,1
Ashford,A216,4
Ashley,A240,9
Ashlin,A245,1
Ashling,A245,1
Ashman,A255,3
Ashmole,A254,1
Ashmore,A256,3
Ashpole,A214,1
Ashton,A235,29
Ashurst,A262,2
Ashwell,A240,4
