country,income,income_level,life_exp,co2,co2_change,population
Algeria,11.6,Level 3,76,3.69,increase,42.2
Angola,6.93,Level 2,64.6,1.12,decrease,30.8
Benin,3.16,Level 2,64,0.623,increase,11.5
Botswana,16.2,Level 3,61.8,2.96,increase,2.25
Burkina Faso,2.12,Level 1,61.3,0.198,increase,19.8
Burundi,0.762,Level 1,63.4,0.0467,increase,11.2
Cameroon,3.71,Level 2,62.6,0.323,increase,25.2
Cape Verde,6.86,Level 2,73.5,1.16,increase,0.544
Central African Republic,0.933,Level 1,51.5,0.0651,increase,4.67
Chad,1.58,Level 1,59.9,0.0656,decrease,15.5
Comoros,3.07,Level 2,68.5,0.263,increase,0.832
"Congo, Dem. Rep.",1.09,Level 1,64.7,0.0243,decrease,84.1
"Congo, Rep.",3.93,Level 2,65,0.617,increase,5.24
Cote d'Ivoire,4.85,Level 2,63.6,0.335,decrease,25.1
Djibouti,5.21,Level 2,66.7,0.672,increase,0.959
Egypt,11.4,Level 3,70.7,2.43,decrease,98.4
Equatorial Guinea,20.4,Level 3,65.8,4.35,decrease,1.31
Eritrea,1.56,Level 1,63.4,0.215,increase,3.45
Eswatini,8.52,Level 3,57.8,1.06,decrease,1.14
Ethiopia,2.1,Level 1,68.4,0.137,increase,109
Gabon,14.7,Level 3,67.5,2.53,decrease,2.12
Gambia,2.16,Level 1,66.4,0.268,increase,2.28
Ghana,5.32,Level 2,65.8,0.615,increase,29.8
Guinea,2.5,Level 1,60.6,0.256,increase,12.4
Guinea-Bissau,1.9,Level 1,60.3,0.181,increase,1.87
Kenya,4.34,Level 2,66.1,0.36,increase,51.4
Lesotho,2.62,Level 1,51.4,1.26,increase,2.11
Liberia,1.54,Level 1,65.7,0.324,increase,4.82
Libya,15,Level 3,75.7,8.09,decrease,6.68
Madagascar,1.59,Level 1,65.1,0.163,increase,26.3
Malawi,1.5,Level 1,64.1,0.0762,decrease,18.1
Mali,2.28,Level 1,61.2,0.187,increase,19.1
Mauritania,5.19,Level 2,70.5,0.605,increase,4.4
Mauritius,22.2,Level 3,75.3,3.83,increase,1.27
Morocco,7.45,Level 2,73.1,1.84,increase,36
Mozambique,1.29,Level 1,57.9,0.281,increase,29.5
Namibia,10.1,Level 3,64.7,1.75,increase,2.45
Niger,1.2,Level 1,62,0.103,increase,22.4
Nigeria,5.16,Level 2,63.8,0.65,increase,196
Rwanda,2.09,Level 1,68.3,0.0913,increase,12.3
Sao Tome and Principe,3.99,Level 2,70.7,0.587,increase,0.211
Senegal,3.31,Level 2,68,0.739,increase,15.9
Seychelles,27.5,Level 4,73.5,6.75,decrease,0.0971
Sierra Leone,1.66,Level 1,61.2,0.141,increase,7.65
Somalia,1.13,Level 1,57.9,0.0466,decrease,15
South Africa,13.9,Level 3,64.4,8.1,decrease,57.8
South Sudan,2.01,Level 1,63,0.171,increase,11
Sudan,4.37,Level 2,70.1,0.504,increase,41.8
Tanzania,2.59,Level 1,66.7,0.222,increase,56.3
Togo,2.06,Level 1,64.5,0.434,increase,7.89
Tunisia,11.4,Level 3,77.5,2.73,increase,11.6
Uganda,2.13,Level 1,65.7,0.135,increase,42.7
Zambia,3.52,Level 2,62.5,0.302,increase,17.4
Zimbabwe,3.92,Level 2,60.6,0.85,increase,14.4
