"AB_POSTCODE","AB_ADDRESS","UPRN","PARENT_UPRN","CLASS","CLASS_DESC"
"NE437TW","NO 3 HALL TO STELLING HALL NEWTON THE COTTAGE MOWDEN HALL U 8194 NEWTON STOCKSFIELD",10000020610,10090299615,"RD03","Semi-Detached"
"NE150NS","CHAPEL COTTAGE B 6528 HORSLEY NEWCASTLE UPON MAIN ROAD THROUGH VILLAGE HORSLEY TYNE",10000843837,NA,"RD03","Semi-Detached"
"NE150NT","NORTH FARM B 6528 HORSLEY MAIN ROAD THROUGH VILLAGE HORSLEY NEWCASTLE UPON TYNE",10000843864,NA,"RD02","Detached"
"NE426BL","BLEACH GREEN FARMHOUSE WEST ROAD OVINGHAM PRUDHOE",10000844041,NA,"RD02","Detached"
"NE426HJ","TYNEWOOD C 254 OVINGHAM TO WYLAM OVINGHAM PRUDHOE",10000844253,NA,"RD02","Detached"
"NE437UU","TWO COTTAGES STELLING FARM NEWTON B 6309 MOWDEN HALL CROSS ROADS TO WELTON STOCKSFIELD",10000844852,10000844851,"RD02","Detached"
"NE426AR","23 TYNE GARDENS OVINGHAM PRUDHOE",10000847539,NA,"RD04","Terraced"
"NE426BT","21 BEWICK LANE OVINGHAM PRUDHOE",100110642990,NA,"RD04","Terraced"
"NE426BE","11 DENE CLOSE OVINGHAM PRUDHOE",100110643956,NA,"RD04","Terraced"
"NE426EQ","15 SPRINGFIELD OVINGTON PRUDHOE",100110646123,NA,"RD02","Detached"
"NE426EQ","17 SPRINGFIELD OVINGTON PRUDHOE",100110646125,NA,"RD02","Detached"
"NE426DZ","12 THE GREEN OVINGTON PRUDHOE",100110646390,NA,"RD03","Semi-Detached"
"NE426BD","19 WELBURN CLOSE OVINGHAM PRUDHOE",100110646562,NA,"RD04","Terraced"
"NE426BA","15 WHEATFIELD CLOSE OVINGHAM PRUDHOE",100110646805,NA,"RD04","Terraced"
"NE426AS","19 WINDSOR CRESCENT OVINGHAM PRUDHOE",100110646844,NA,"RD04","Terraced"
"NE426AS","59 WINDSOR CRESCENT OVINGHAM PRUDHOE",100110646884,NA,"RD04","Terraced"
"NE418EU","4 BLUEBELL CLOSE WYLAM",100110648143,NA,"RD02","Detached"
"NE418EU","24 BLUEBELL CLOSE WYLAM",100110648163,NA,"RD02","Detached"
"NE418EY","11 DENE ROAD WYLAM",100110648192,NA,"RD02","Detached"
"NE418HB","68 DENE ROAD WYLAM",100110648237,NA,"RD04","Terraced"
"NE418HB","92 DENE ROAD WYLAM",100110648261,NA,"RD02","Detached"
"NE418EZ","122 DENE ROAD WYLAM",100110648286,NA,"RD04","Terraced"
"NE418EZ","126 DENE ROAD WYLAM",100110648290,NA,"RD04","Terraced"
"NE418JT","8 HAGG BANK COTTAGES HAGG BANK WYLAM",100110648382,NA,"RD04","Terraced"
"NE418EQ","2 PARSON ROAD WYLAM",100110648441,NA,"RD04","Terraced"
"NE418DJ","15 WOODCROFT ROAD WYLAM",100110648615,NA,"RD03","Semi-Detached"
"NE418ES","12 WOODVALE GARDENS WYLAM",100110648659,NA,"RD04","Terraced"
"NE418ES","18 WOODVALE GARDENS WYLAM",100110648665,NA,"RD04","Terraced"
"NE426DJ","DENE VIEW COTTAGE DENE VIEW OVINGTON PRUDHOE",100110726110,NA,"RD02","Detached"
"NE426BG","SUMMERDALE HORSLEY ROAD OVINGHAM PRUDHOE",100110726183,NA,"RD02","Detached"
"NE418AY","HITHERTO DENE TERRACE EAST WYLAM",100110726873,NA,"RD02","Detached"
